from_stop_id,to_stop_id,transfer_type,min_transfer_time
1689,3690422,2,296
5478432,2481,2,297
1689,3690420,2,214
5478281,2244,2,281
4614644,2532,2,249
5231570,1689,2,296
5231656,1837,2,211
1956,4036640,2,198
3765194,2211,2,220
4109828,2304,2,234
4024821,2238,2,220
6187506,1829,2,201
4798809,2304,2,234
4024842,1913,2,220
3677652,2516,2,265
3677877,1859,2,216
4022919,1913,2,198
4726919,2053,2,192
2370,4023609,2,290
4024377,2370,2,258
3688519,2499,2,258
4997023,1956,2,198
3672236,1835,2,277
6187689,1829,2,322
4028772,1943,2,217
3663693,1848,2,200
3619838,1904,2,205
2149,2084,2,218
2198,3690435,2,207
2370,4023607,2,202
2370,4023608,2,206
4723885,2024,2,215
4614553,1840,2,205
3682940,1837,2,211
2458,4473165,2,233
2458,4473164,2,220
1951,2211,2,800
4102132,1713,2,216
4557294,1689,2,230
